model,no_trade_reasons,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
breaker_block,equilibrium;insufficient_displacement,1,1,0,1,,,0.0,3.10559,82.0,,0.0,0.0,0.0,0.0,19.0,,,,0,1
breaker_block,equilibrium;insufficient_displacement;target_rr_below_2,7,7,3,3,10.970188,9.813606,0.142857,0.840092,64.285714,-0.013714,0.142857,0.142857,0.142857,0.285714,8.6,1.0,1.0,1.0,0,7
breaker_block,equilibrium;insufficient_displacement;target_rr_below_3,1,1,1,0,1.718071,1.718071,0.0,2.829049,92.0,-1.0,0.0,1.0,0.0,1.0,8.0,2.0,1.0,,0,1
breaker_block,insufficient_displacement,5,5,1,4,40.176395,40.176395,0.2,18.290133,97.6,5.247313,0.2,0.2,0.2,0.0,10.0,,1.0,1.0,0,5
breaker_block,insufficient_displacement;target_rr_below_2,5,5,3,1,8.764409,5.858796,0.4,0.631548,77.0,0.028593,0.4,0.4,0.2,0.2,1.5,1.0,1.0,1.0,0,5
breaker_block,insufficient_displacement;target_rr_below_3,2,2,1,0,5.531025,5.531025,0.5,2.288225,97.5,2.416918,0.5,0.5,0.5,0.0,1.0,,1.0,1.0,0,2
breaker_block,poor_pd_location;insufficient_displacement,2,2,0,1,,,0.0,8.517892,86.0,,0.0,0.0,0.0,0.0,5.0,,,,0,2
breaker_block,poor_pd_location;insufficient_displacement;target_rr_below_2,8,8,4,4,11.196216,9.215107,0.25,0.852221,67.5,0.017903,0.25,0.25,0.25,0.25,11.0,1.0,1.0,1.0,0,8
ict2022_mss_fvg,none,1,1,1,0,1.675943,1.675943,0.0,6.957059,100.0,1.675943,0.0,1.0,0.0,0.0,1.0,,1.0,,0,0
ifvg_retest,equilibrium,1,1,1,0,75.497647,75.497647,0.0,3.038356,100.0,-1.0,0.0,0.0,0.0,1.0,3.0,1.0,,,0,1
ifvg_retest,equilibrium;target_rr_below_2,2,2,1,0,22.252912,22.252912,0.0,1.449466,79.5,-1.0,0.0,0.0,0.0,0.5,3.0,1.0,,,0,2
ifvg_retest,equilibrium;target_rr_below_3,1,1,1,0,3.095485,3.095485,1.0,2.855767,100.0,2.855767,1.0,1.0,1.0,0.0,2.0,,1.0,1.0,0,1
ifvg_retest,none,10,10,10,0,31.833028,18.756415,0.2,10.350415,100.0,0.125304,0.2,0.4,0.4,0.8,2.7,1.5,1.0,1.0,0,0
ifvg_retest,poor_pd_location,3,3,3,0,14.21375,15.941242,0.0,7.177592,99.0,-1.0,0.0,0.0,0.0,1.0,1.333333,1.0,,,0,3
ifvg_retest,poor_pd_location;target_rr_below_2,4,4,4,0,18.332342,9.659634,0.5,1.140954,83.5,0.455945,0.5,0.5,0.5,0.5,5.25,1.0,1.0,1.0,0,4
ifvg_retest,target_rr_below_2,7,7,6,0,18.561622,16.067113,0.142857,1.099101,95.285714,-0.758525,0.142857,0.142857,0.142857,0.714286,1.166667,1.0,1.0,1.0,0,7
mitigation_block,equilibrium,2,2,2,0,1.758225,1.758225,0.0,9.786039,82.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.5,,,0,2
mitigation_block,equilibrium;target_rr_below_2,4,4,4,0,1.818896,1.877271,0.5,0.382186,72.0,-0.339536,0.5,0.25,0.0,0.5,1.0,1.5,1.0,,0,4
mitigation_block,equilibrium;target_rr_below_3,2,2,2,0,0.952436,0.952436,0.0,2.170668,72.0,-1.0,0.0,0.0,0.0,1.0,1.0,7.5,,,0,2
mitigation_block,poor_pd_location,1,1,1,0,1.758225,1.758225,0.0,9.786039,100.0,-1.0,0.0,1.0,0.0,1.0,1.0,4.0,2.0,,0,1
mitigation_block,poor_pd_location;target_rr_below_2,9,9,9,0,2.775952,2.875106,0.888889,0.470361,66.888889,0.296415,0.888889,0.333333,0.222222,0.111111,1.0,1.0,1.0,1.0,0,9
mitigation_block,poor_pd_location;target_rr_below_3,4,4,4,0,1.690931,1.296206,0.25,2.0,87.0,-0.25,0.25,1.0,0.25,0.75,1.0,7.0,6.0,12.0,0,4
mitigation_block,target_rr_below_2,49,49,49,0,1.721624,0.965592,0.265306,0.544101,78.22449,-0.663869,0.265306,0.081633,0.0,0.734694,1.0,1.527778,2.75,,0,49
mitigation_block,target_rr_below_3,7,7,7,0,3.049648,3.608998,0.0,2.087645,87.0,-1.0,0.0,0.0,0.0,1.0,1.0,2.857143,,,0,7
reclaimed_ob,equilibrium,1,1,1,0,1.622219,1.622219,0.0,182.904584,82.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0,1
reclaimed_ob,equilibrium;target_rr_below_2,1,1,1,0,10.866927,10.866927,1.0,1.383063,82.0,1.383063,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
reclaimed_ob,none,1,1,1,0,3.084666,3.084666,0.0,24.138766,97.0,-1.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,0,0
reclaimed_ob,poor_pd_location;target_rr_below_2,1,1,1,0,10.039977,10.039977,1.0,0.718278,82.0,0.718278,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
reclaimed_ob,target_rr_below_2,3,3,2,1,8.849358,8.849358,0.666667,1.147688,79.666667,1.1194,0.666667,0.666667,0.666667,0.0,1.666667,,1.0,1.0,0,3
