model,htf_location,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
breaker_block,discount,33,33,16,14,13.092166,7.579207,0.363636,10.119365,85.848485,1.072164,0.363636,0.333333,0.30303,0.121212,6.296296,1.0,1.0,1.0,0,33
breaker_block,premium,31,31,14,14,9.588492,6.585681,0.290323,2.179552,72.935484,0.230596,0.290323,0.258065,0.225806,0.16129,6.541667,1.0,1.0,1.0,0,31
ict2022_mss_fvg,discount,1,1,1,0,13.865035,13.865035,0.0,29.527775,100.0,13.865035,0.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
ict2022_mss_fvg,premium,2,2,2,0,3.505492,3.505492,0.0,6.913929,100.0,3.505492,0.0,1.0,0.5,0.0,1.0,,1.0,2.0,0,1
ifvg_retest,discount,40,40,39,0,26.336568,17.603333,0.2,4.548864,97.125,-0.445425,0.2,0.25,0.25,0.775,2.076923,1.258065,1.0,1.0,0,27
ifvg_retest,premium,27,27,26,0,28.915726,14.014738,0.296296,7.773697,94.0,2.028617,0.296296,0.407407,0.37037,0.666667,2.346154,1.222222,1.0,1.0,0,19
mitigation_block,discount,91,91,91,0,2.02165,1.108046,0.43956,0.744883,78.736264,-0.263791,0.43956,0.175824,0.065934,0.549451,1.0,2.14,2.8125,11.666667,0,90
mitigation_block,premium,99,99,99,0,1.948883,1.503239,0.414141,0.803375,76.808081,-0.373272,0.414141,0.242424,0.050505,0.575758,1.0,2.508772,3.458333,6.2,0,99
reclaimed_ob,discount,4,4,3,1,41.169622,3.70286,0.5,7.090366,84.75,0.672811,0.5,0.75,0.75,0.25,1.5,5.0,1.0,1.0,0,3
reclaimed_ob,premium,6,6,6,0,7.594219,8.297995,0.833333,28.314292,75.0,0.759281,0.833333,0.833333,0.833333,0.166667,1.333333,1.0,1.0,1.0,0,6
rejection_block,discount,89,89,89,0,5.906278,4.844295,0.573034,2.336698,83.955056,0.710695,0.573034,0.617978,0.438202,0.404494,1.0,3.083333,1.363636,2.128205,0,85
rejection_block,premium,72,72,72,0,5.268526,3.734383,0.597222,1.842775,83.125,0.487753,0.597222,0.638889,0.402778,0.402778,1.0,1.689655,1.456522,2.724138,0,59
silver_bullet,discount,2,2,2,0,1.47392,1.47392,0.5,2.0,90.5,1.419311,0.5,0.5,0.5,0.0,1.0,,2.0,3.0,0,2
silver_bullet,premium,6,6,6,0,0.876604,0.680992,0.0,2.0,88.0,-0.497059,0.0,0.333333,0.0,0.666667,1.0,11.75,3.5,,0,6
turtle_soup,discount,258,258,258,0,4.543903,3.14116,0.143411,8.17519,70.988372,0.477017,0.143411,0.468992,0.341085,0.713178,1.0,3.744565,3.024793,5.784091,0,138
turtle_soup,premium,190,190,190,0,3.569992,2.316942,0.142105,7.01334,70.421053,-0.034212,0.142105,0.378947,0.231579,0.8,1.0,3.730263,2.902778,4.0,0,95
