model,htf_zone_type,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,Breaker,149,129,20,83,66,2.515545,0.926573,2.413429,1.18799,0.705426,0.457364,0.294574,0.61745,0.348837,0.20155,4.765101,BTCUSDT,30m
Entry Model 1,FVG,53,47,6,34,19,3.984297,1.214898,4.250746,2.506925,0.638298,0.531915,0.340426,0.735849,0.404255,0.234043,4.924528,BTCUSDT,15m
Entry Model 1,IFVG,324,280,44,149,175,9.826027,1.463319,4.258141,1.331081,0.785714,0.6,0.371429,0.648148,0.489286,0.271429,4.62963,BTCUSDT,30m
Entry Model 1,Liquidity,4,4,0,4,0,2.1267,1.914233,2.313896,2.815747,1.0,0.75,0.5,0.75,0.25,0.25,5.0,ETHUSDT,15m
Entry Model 1,OB,9,9,0,1,8,2.611817,1.189883,2.712752,1.062984,0.777778,0.555556,0.333333,0.555556,0.555556,0.333333,4.666667,ETHUSDT,15m
Entry Model 1,PD,107,98,9,84,23,2.283117,1.308788,1.867004,1.229709,0.826531,0.591837,0.316327,0.579439,0.540816,0.265306,4.88785,BTCUSDT,15m
Entry Model 2,Breaker,242,200,42,130,112,3.174212,1.63826,3.029491,1.881576,0.76,0.6,0.425,0.72314,0.43,0.265,4.913223,BTCUSDT,30m
Entry Model 2,FVG,115,88,27,73,42,3.245325,1.340582,4.029793,2.632679,0.727273,0.579545,0.397727,0.8,0.409091,0.272727,4.982609,BTCUSDT,15m
Entry Model 2,IFVG,667,563,104,300,367,3.244273,1.578947,3.813353,1.832127,0.813499,0.639432,0.419183,0.704648,0.486679,0.294849,4.736132,ETHUSDT,30m
Entry Model 2,Liquidity,14,13,1,14,0,1.942237,1.34702,2.43732,2.419534,0.692308,0.538462,0.307692,0.785714,0.384615,0.076923,4.642857,ETHUSDT,15m
Entry Model 2,OB,16,15,1,6,10,1.228402,0.688052,3.585563,3.213592,0.666667,0.333333,0.266667,0.9375,0.133333,0.066667,4.9375,ETHUSDT,15m
Entry Model 2,PD,171,157,14,128,43,3.085422,1.721775,3.251697,1.347625,0.757962,0.617834,0.426752,0.631579,0.515924,0.356688,4.923977,BTCUSDT,15m
Entry Model 3,Breaker,25,25,0,14,11,5.307312,2.970745,7.848119,4.497769,0.72,0.72,0.6,0.92,0.44,0.32,4.96,BTCUSDT,30m
Entry Model 3,FVG,27,27,0,16,11,7.0186,3.802913,5.610413,3.861011,0.814815,0.703704,0.592593,0.925926,0.37037,0.296296,4.962963,ETHUSDT,30m
Entry Model 3,IFVG,107,106,1,48,59,7.449407,3.496099,8.017153,5.610836,0.90566,0.849057,0.735849,0.915888,0.575472,0.396226,4.990654,ETHUSDT,30m
Entry Model 3,Liquidity,3,3,0,3,0,3.679718,4.182081,4.588926,4.465011,1.0,1.0,1.0,1.0,1.0,0.666667,4.666667,ETHUSDT,30m
Entry Model 3,OB,2,2,0,1,1,1.380636,1.380636,10.33593,10.33593,0.5,0.5,0.5,1.0,0.5,0.5,5.0,ETHUSDT,30m
Entry Model 3,PD,16,16,0,13,3,7.145674,4.384883,8.839748,5.556659,0.9375,0.875,0.875,0.9375,0.5,0.4375,5.0,BTCUSDT,30m
