model,htf_zone_type,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,Breaker,272,232,40,149,123,3.585507,1.122855,3.735214,1.205194,0.737069,0.530172,0.340517,0.625,0.422414,0.25,4.808824,BTCUSDT,5m
Entry Model 1,FVG,251,198,53,169,82,2.931299,1.330231,3.247775,1.896592,0.722222,0.606061,0.368687,0.74502,0.459596,0.252525,4.956175,BTCUSDT,15m
Entry Model 1,IFVG,1375,1180,195,707,668,4.727163,1.468525,4.552324,1.331165,0.791525,0.620339,0.385593,0.657455,0.501695,0.282203,4.757091,BTCUSDT,30m
Entry Model 1,Liquidity,4,4,0,4,0,2.1267,1.914233,2.313896,2.815747,1.0,0.75,0.5,0.75,0.25,0.25,5.0,ETHUSDT,15m
Entry Model 1,OB,40,38,2,25,15,1.819726,1.209976,3.018845,1.847776,0.710526,0.552632,0.315789,0.7,0.447368,0.184211,4.925,ETHUSDT,15m
Entry Model 1,PD,282,260,22,193,89,2.623782,1.402881,2.082685,1.047286,0.826923,0.634615,0.338462,0.556738,0.553846,0.284615,4.950355,BTCUSDT,5m
Entry Model 2,Breaker,431,357,74,224,207,3.092424,1.745793,2.932284,1.652157,0.781513,0.633053,0.453782,0.709977,0.453782,0.294118,4.87703,BTCUSDT,30m
Entry Model 2,FVG,491,393,98,337,154,3.319936,1.514047,3.39749,2.013004,0.763359,0.641221,0.419847,0.749491,0.452926,0.277354,4.989817,BTCUSDT,15m
Entry Model 2,IFVG,2498,2097,401,1268,1230,3.543639,1.605457,3.749993,1.84743,0.790653,0.635193,0.430615,0.731385,0.463519,0.289461,4.814652,ETHUSDT,5m
Entry Model 2,Liquidity,15,13,2,14,1,1.942237,1.34702,2.43732,2.419534,0.692308,0.538462,0.307692,0.8,0.384615,0.076923,4.666667,ETHUSDT,15m
Entry Model 2,OB,69,64,5,45,24,2.680208,1.168028,4.021546,2.682479,0.75,0.546875,0.40625,0.811594,0.34375,0.21875,4.971014,ETHUSDT,5m
Entry Model 2,PD,432,392,40,302,130,3.479409,1.768399,3.316671,1.567322,0.790816,0.655612,0.456633,0.645833,0.530612,0.34949,4.958333,BTCUSDT,5m
Entry Model 3,Breaker,25,25,0,14,11,5.307312,2.970745,7.848119,4.497769,0.72,0.72,0.6,0.92,0.44,0.32,4.96,BTCUSDT,30m
Entry Model 3,FVG,27,27,0,16,11,7.0186,3.802913,5.610413,3.861011,0.814815,0.703704,0.592593,0.925926,0.37037,0.296296,4.962963,ETHUSDT,30m
Entry Model 3,IFVG,107,106,1,48,59,7.449407,3.496099,8.017153,5.610836,0.90566,0.849057,0.735849,0.915888,0.575472,0.396226,4.990654,ETHUSDT,30m
Entry Model 3,Liquidity,3,3,0,3,0,3.679718,4.182081,4.588926,4.465011,1.0,1.0,1.0,1.0,1.0,0.666667,4.666667,ETHUSDT,30m
Entry Model 3,OB,2,2,0,1,1,1.380636,1.380636,10.33593,10.33593,0.5,0.5,0.5,1.0,0.5,0.5,5.0,ETHUSDT,30m
Entry Model 3,PD,16,16,0,13,3,7.145674,4.384883,8.839748,5.556659,0.9375,0.875,0.875,0.9375,0.5,0.4375,5.0,BTCUSDT,30m
