scope,model,threshold,filter_name,filtered_out,count,activated_trades,invalidated_before_entry,avg_decision_score,avg_mfe_r,median_mfe_r,avg_rr,expectancy,managed_expectancy,avg_managed_outcome_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,same_bar_ambiguous_count,no_trade_reason_count,top_no_trade_reasons
all,ALL,0,none,0,124,90,2,93.556452,7.056012,2.816983,3.505869,-0.212402,-0.137739,-0.137739,0.201613,0.282258,0.129032,0.516129,0,90,target_rr_below_2:62;target_rr_below_3:28
model,ifvg_retest,0,none,0,37,16,0,100.0,23.110541,9.828739,3.309464,0.00499,-0.146507,-0.146507,0.108108,0.108108,0.081081,0.324324,0,22,target_rr_below_2:15;target_rr_below_3:7
model,reclaimed_ob,0,none,0,16,3,2,92.3125,2.093404,2.484971,9.93798,0.0,-0.1,-0.1,0.0625,0.0625,0.0625,0.125,0,10,target_rr_below_2:6;target_rr_below_3:4
model,rejection_block,0,none,0,71,71,0,90.478873,3.647778,2.406238,2.158731,-0.270366,-0.137358,-0.137358,0.28169,0.422535,0.169014,0.704225,0,58,target_rr_below_2:41;target_rr_below_3:17
filtered_model,ifvg_retest,0,model_rules,37,0,0,0,,,,,,,,,,,,0,0,
filtered_model,reclaimed_ob,0,model_rules,16,0,0,0,,,,,,,,,,,,0,0,
filtered_model,rejection_block,0,model_rules,71,0,0,0,,,,,,,,,,,,0,0,
filtered_all,ALL,0,model_rules,124,0,0,0,,,,,,,,,,,,0,0,
all,ALL,50,none,0,124,90,2,93.556452,7.056012,2.816983,3.505869,-0.212402,-0.137739,-0.137739,0.201613,0.282258,0.129032,0.516129,0,90,target_rr_below_2:62;target_rr_below_3:28
model,ifvg_retest,50,none,0,37,16,0,100.0,23.110541,9.828739,3.309464,0.00499,-0.146507,-0.146507,0.108108,0.108108,0.081081,0.324324,0,22,target_rr_below_2:15;target_rr_below_3:7
model,reclaimed_ob,50,none,0,16,3,2,92.3125,2.093404,2.484971,9.93798,0.0,-0.1,-0.1,0.0625,0.0625,0.0625,0.125,0,10,target_rr_below_2:6;target_rr_below_3:4
model,rejection_block,50,none,0,71,71,0,90.478873,3.647778,2.406238,2.158731,-0.270366,-0.137358,-0.137358,0.28169,0.422535,0.169014,0.704225,0,58,target_rr_below_2:41;target_rr_below_3:17
filtered_model,ifvg_retest,50,model_rules,37,0,0,0,,,,,,,,,,,,0,0,
filtered_model,reclaimed_ob,50,model_rules,16,0,0,0,,,,,,,,,,,,0,0,
filtered_model,rejection_block,50,model_rules,71,0,0,0,,,,,,,,,,,,0,0,
filtered_all,ALL,50,model_rules,124,0,0,0,,,,,,,,,,,,0,0,
all,ALL,70,none,0,124,90,2,93.556452,7.056012,2.816983,3.505869,-0.212402,-0.137739,-0.137739,0.201613,0.282258,0.129032,0.516129,0,90,target_rr_below_2:62;target_rr_below_3:28
model,ifvg_retest,70,none,0,37,16,0,100.0,23.110541,9.828739,3.309464,0.00499,-0.146507,-0.146507,0.108108,0.108108,0.081081,0.324324,0,22,target_rr_below_2:15;target_rr_below_3:7
model,reclaimed_ob,70,none,0,16,3,2,92.3125,2.093404,2.484971,9.93798,0.0,-0.1,-0.1,0.0625,0.0625,0.0625,0.125,0,10,target_rr_below_2:6;target_rr_below_3:4
model,rejection_block,70,none,0,71,71,0,90.478873,3.647778,2.406238,2.158731,-0.270366,-0.137358,-0.137358,0.28169,0.422535,0.169014,0.704225,0,58,target_rr_below_2:41;target_rr_below_3:17
filtered_model,ifvg_retest,70,model_rules,37,0,0,0,,,,,,,,,,,,0,0,
filtered_model,reclaimed_ob,70,model_rules,16,0,0,0,,,,,,,,,,,,0,0,
filtered_model,rejection_block,70,model_rules,71,0,0,0,,,,,,,,,,,,0,0,
filtered_all,ALL,70,model_rules,124,0,0,0,,,,,,,,,,,,0,0,
