model,htf_zone_type,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,Breaker,123,103,20,66,57,4.925558,1.358388,5.390655,1.253606,0.776699,0.621359,0.398058,0.634146,0.514563,0.31068,4.861789,BTCUSDT,5m
Entry Model 1,FVG,198,151,47,135,63,2.603545,1.379839,2.935591,1.799166,0.748344,0.629139,0.377483,0.747475,0.476821,0.258278,4.964646,ETHUSDT,5m
Entry Model 1,IFVG,1051,900,151,558,493,3.14085,1.472669,4.643847,1.336462,0.793333,0.626667,0.39,0.660324,0.505556,0.285556,4.796384,ETHUSDT,5m
Entry Model 1,OB,31,29,2,24,7,1.573905,1.230069,3.11384,1.906376,0.689655,0.551724,0.310345,0.741935,0.413793,0.137931,5.0,ETHUSDT,5m
Entry Model 1,PD,175,162,13,109,66,2.829863,1.459531,2.213158,1.007092,0.82716,0.660494,0.351852,0.542857,0.561728,0.296296,4.988571,BTCUSDT,5m
Entry Model 2,Breaker,189,157,32,94,95,2.988236,1.93746,2.808453,1.451407,0.808917,0.675159,0.490446,0.693122,0.484076,0.33121,4.830688,ETHUSDT,5m
Entry Model 2,FVG,376,305,71,264,112,3.341462,1.633527,3.215056,1.868318,0.77377,0.659016,0.42623,0.734043,0.465574,0.278689,4.992021,BTCUSDT,5m
Entry Model 2,IFVG,1831,1534,297,968,863,3.653511,1.611057,3.726738,1.85608,0.782269,0.633638,0.434811,0.741125,0.45502,0.287484,4.843255,ETHUSDT,5m
Entry Model 2,Liquidity,1,0,1,0,1,,,,,,,,1.0,,,5.0,,
Entry Model 2,OB,53,49,4,39,14,3.124638,1.424181,4.155009,2.424571,0.77551,0.612245,0.44898,0.773585,0.408163,0.265306,4.981132,ETHUSDT,5m
Entry Model 2,PD,261,235,26,174,87,3.742626,1.906606,3.360078,1.587361,0.812766,0.680851,0.476596,0.655172,0.540426,0.344681,4.980843,BTCUSDT,5m
