model,no_trade_reasons,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
breaker_block,insufficient_displacement,3,3,1,1,19.857954,19.857954,0.333333,9.36493,99.0,4.806316,0.333333,0.333333,0.333333,0.0,5.5,,1.0,1.0,0,3
breaker_block,insufficient_displacement;target_rr_below_2,5,5,3,1,4.893397,3.912926,0.4,0.88969,82.6,0.16548,0.4,0.2,0.2,0.2,4.5,1.0,1.0,1.0,0,5
breaker_block,poor_pd_location;insufficient_displacement,4,4,1,2,1.505394,1.505394,0.0,5.774348,95.0,-1.0,0.0,0.25,0.0,0.25,7.5,2.0,1.0,,0,4
breaker_block,poor_pd_location;insufficient_displacement;target_rr_below_2,13,13,6,5,9.870377,6.728873,0.461538,0.853177,71.230769,0.634426,0.461538,0.384615,0.384615,0.0,6.111111,,1.0,1.0,0,13
breaker_block,poor_pd_location;insufficient_displacement;target_rr_below_3,1,1,0,1,,,0.0,2.930064,80.0,,0.0,0.0,0.0,0.0,17.0,,,,0,1
ifvg_retest,none,6,6,6,0,44.096741,35.555607,0.166667,7.589857,100.0,1.494599,0.166667,0.166667,0.166667,0.833333,1.666667,1.0,1.0,1.0,0,0
ifvg_retest,poor_pd_location,5,5,4,0,114.345833,24.39224,0.2,21.081922,99.4,8.906443,0.2,0.4,0.4,0.4,5.75,1.0,1.0,1.0,0,5
ifvg_retest,poor_pd_location;target_rr_below_2,4,4,4,0,5.542064,5.336161,0.75,0.466588,94.75,0.093782,0.75,0.5,0.25,0.25,6.25,1.0,1.5,1.0,0,4
ifvg_retest,poor_pd_location;target_rr_below_3,1,1,1,0,7.902607,7.902607,1.0,2.694071,100.0,2.694071,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
ifvg_retest,target_rr_below_2,8,8,8,0,6.975281,3.749653,0.375,0.640772,99.625,-0.396057,0.375,0.5,0.125,0.625,3.125,1.4,1.0,1.0,0,8
mitigation_block,none,2,2,2,0,3.46526,3.46526,0.5,3.458389,98.5,1.175986,0.5,0.5,0.5,0.5,1.0,1.0,1.0,4.0,0,0
mitigation_block,poor_pd_location;target_rr_below_2,28,28,28,0,0.850724,0.494399,0.214286,0.646046,70.285714,-0.711962,0.214286,0.142857,0.0,0.785714,1.0,4.636364,1.0,,0,28
mitigation_block,poor_pd_location;target_rr_below_3,4,4,4,0,0.832271,0.832271,0.0,2.250943,76.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0,4
mitigation_block,target_rr_below_2,11,11,11,0,5.001785,1.644061,0.545455,0.52101,83.363636,-0.171731,0.545455,0.363636,0.0,0.454545,1.0,1.0,2.25,,0,11
reclaimed_ob,none,1,1,1,0,12.01518,12.01518,1.0,8.42623,100.0,8.42623,1.0,1.0,1.0,0.0,2.0,,1.0,1.0,0,0
reclaimed_ob,poor_pd_location,1,1,1,0,6.779888,6.779888,0.0,9.546568,90.0,-1.0,0.0,0.0,0.0,1.0,2.0,1.0,,,0,1
reclaimed_ob,poor_pd_location;target_rr_below_2,1,1,1,0,13.059224,13.059224,1.0,1.035887,62.0,1.035887,1.0,1.0,0.0,0.0,1.0,,1.0,,0,1
