model,htf_location,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
breaker_block,discount,14,14,5,5,5.602024,5.146011,0.285714,3.054562,85.214286,0.343966,0.285714,0.214286,0.214286,0.071429,6.5,1.0,1.0,1.0,0,14
breaker_block,premium,12,12,6,5,11.20928,7.867165,0.416667,2.24151,75.25,1.064913,0.416667,0.416667,0.333333,0.083333,6.4,2.0,1.0,1.0,0,12
ifvg_retest,discount,14,14,14,0,22.35925,8.812728,0.357143,6.439282,100.0,3.332968,0.357143,0.5,0.357143,0.571429,4.642857,1.25,1.0,1.0,0,10
ifvg_retest,premium,10,10,9,0,54.9786,10.115068,0.4,7.04854,97.3,-0.240827,0.4,0.3,0.1,0.5,2.111111,1.0,1.333333,1.0,0,8
mitigation_block,discount,29,29,29,0,1.350576,0.435151,0.137931,0.996389,76.103448,-0.719459,0.137931,0.034483,0.034483,0.862069,1.0,4.2,1.0,4.0,0,27
mitigation_block,premium,16,16,16,0,3.120801,0.974789,0.5625,0.677853,73.6875,-0.162981,0.5625,0.5,0.0,0.4375,1.0,1.0,1.625,,0,16
reclaimed_ob,discount,3,3,3,0,15.777816,12.01518,0.666667,6.782091,92.333333,3.266568,0.666667,0.666667,0.666667,0.333333,1.666667,1.0,1.0,1.0,0,2
reclaimed_ob,premium,2,2,2,0,8.483279,8.483279,1.0,0.736983,69.5,0.736983,1.0,1.0,0.5,0.0,1.5,,1.0,1.0,0,2
rejection_block,discount,26,26,26,0,5.280865,2.965326,0.615385,1.672981,80.038462,0.176573,0.615385,0.5,0.269231,0.384615,1.0,1.1,1.0,1.142857,0,23
rejection_block,premium,18,18,18,0,4.558155,3.067313,0.833333,1.096733,81.666667,0.443667,0.833333,0.444444,0.166667,0.166667,1.0,1.0,1.0,1.0,0,17
turtle_soup,discount,73,73,73,0,3.851529,3.320795,0.082192,7.377334,73.493151,-0.08213,0.082192,0.479452,0.273973,0.808219,1.0,3.847458,3.428571,4.35,0,27
turtle_soup,premium,54,54,54,0,3.838785,2.110961,0.12963,8.550537,73.518519,0.375783,0.12963,0.425926,0.259259,0.814815,1.0,3.363636,2.173913,2.642857,0,16
