model,score_bucket,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
breaker_block,high,19,19,8,6,7.479246,6.032545,0.315789,3.372441,87.473684,0.730312,0.315789,0.315789,0.263158,0.105263,6.083333,1.5,1.0,1.0,0,19
breaker_block,medium,7,7,3,4,11.81061,5.273829,0.428571,0.797945,62.0,0.755604,0.428571,0.285714,0.285714,0.0,7.166667,,1.0,1.0,0,7
ifvg_retest,high,24,24,23,0,35.123343,9.722848,0.375,6.69314,98.875,1.934527,0.375,0.416667,0.25,0.541667,3.652174,1.153846,1.1,1.0,0,18
mitigation_block,high,39,39,39,0,2.081548,0.553648,0.230769,0.944453,77.282051,-0.580266,0.230769,0.153846,0.025641,0.769231,1.0,3.666667,1.833333,4.0,0,37
mitigation_block,medium,6,6,6,0,1.319856,1.265115,0.666667,0.484545,62.0,-0.140273,0.666667,0.5,0.0,0.333333,1.0,1.0,1.0,,0,6
reclaimed_ob,high,4,4,4,0,12.810196,9.397534,0.75,5.196088,88.5,2.559446,0.75,0.75,0.75,0.25,1.75,1.0,1.0,1.0,0,3
reclaimed_ob,medium,1,1,1,0,13.059224,13.059224,1.0,1.035887,62.0,1.035887,1.0,1.0,0.0,0.0,1.0,,1.0,,0,1
rejection_block,high,38,38,38,0,5.371843,2.965326,0.657895,1.622806,83.657895,0.2896,0.657895,0.447368,0.263158,0.342105,1.0,1.076923,1.0,1.1,0,34
rejection_block,medium,6,6,6,0,2.536539,2.691597,1.0,0.262015,62.0,0.262015,1.0,0.666667,0.0,0.0,1.0,,1.0,,0,6
turtle_soup,high,85,85,85,0,3.983199,3.003668,0.070588,9.165708,79.882353,0.051958,0.070588,0.447059,0.282353,0.847059,1.0,3.708333,2.710526,3.916667,0,1
turtle_soup,low,4,4,4,0,1.0348,0.795213,0.0,1.287145,45.0,-0.475495,0.0,0.25,0.0,0.75,1.0,3.0,16.0,,0,4
turtle_soup,medium,38,38,38,0,3.83539,3.486445,0.184211,5.685278,62.236842,0.310063,0.184211,0.5,0.263158,0.736842,1.0,3.535714,2.684211,3.0,0,38
